Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
600 LUCAS AV;34,0552;-118,2675;1700;2;Rampart;257;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2600 S MANHATTEN PL;34,0328;-118,323;10;3;Southwest;314;1;73;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
4000 2ND AV;34,0127;-118,3193;145;3;Southwest;374;2;48;M;B;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
600 S NEW HAMPSHIRE AV;34,0608;-118,2929;2130;20;Olympic;2036;2;37;F;H;PARKING LOT;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
6600 TOPANGA CANYON BL;34,1905;-118,6059;1600;21;Topanga;2156;2;71;F;W;SHOPPING MALL (COMMON AREA);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
7600 S BROADWAY;33,9703;-118,2783;1430;12;77th Street;1258;2;23;F;H;POLICE FACILITY;None;None;AO;Adult Other;Crimes against Public Order
200 S LOS ANGELES ST;34,0485;-118,2448;1700;1;Central;138;1;19;X;X;OTHER STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Property Crimes
SEWARD;34,0944;-118,3332;1904;6;Hollywood;663;2;44;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
7700 S HARVARD BL;33,97;-118,3068;1650;12;77th Street;1253;2;37;F;B;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
1400 E 96TH ST;33,949;-118,2479;215;18;Southeast;1826;2;49;F;H;DRIVEWAY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
8800 SAN FERNANDO RD;34,2289;-118,3827;1400;16;Foothill;1673;1;59;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
MARCO PL;33,9961;-118,457;1100;14;Pacific;1432;1;37;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
1400 W PACIFIC COAST HY;33,7907;-118,2829;2000;5;Harbor;513;2;32;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
8700 MCCONNELL AV;33,9579;-118,4088;1;14;Pacific;1485;2;30;M;B;STREET;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
CHEROKEE;34,1032;-118,3348;1755;6;Hollywood;636;2;25;M;W;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Crimes against Public Order
13900 WEIDNER ST;34,2639;-118,436;700;16;Foothill;1621;2;48;M;H;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;Property Crimes
1100 W 6TH ST;34,0541;-118,2621;1700;2;Rampart;249;1;33;F;H;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
2900 S SEPULVEDA BL;34,0291;-118,4297;1200;14;Pacific;1403;1;54;F;W;PARKING LOT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
500 S PACIFIC AV;33,7412;-118,2924;30;5;Harbor;557;2;0;X;X;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
18400 W VENTURA BL;34,1679;-118,5338;1210;10;West Valley;1063;1;0;M;W;DRUG STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
6600 LANKERSHIM BL;34,1962;-118,3911;2200;15;N Hollywood;1515;2;26;M;B;MINI-MART;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
1400 N HIGHLAND AV;34,1006;-118,3417;1300;6;Hollywood;645;1;37;M;B;SINGLE FAMILY DWELLING;207;OTHER KNIFE;AO;Adult Other;Property Crimes
9500 S WESTERN AV;33,9507;-118,309;1930;12;77th Street;1283;2;51;M;B;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
10300 N SEPULVEDA BL;34,261;-118,4698;1935;19;Mission;1951;1;0;M;O;DRUG STORE;221;GLASS;IC;Invest Cont;Property Crimes
3200 E 4TH ST;34,0355;-118,2004;2230;4;Hollenbeck;465;1;58;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
6TH;34,0423;-118,2452;1100;1;Central;156;2;49;F;B;STREET;None;None;IC;Invest Cont;Property Crimes
YUCCA;34,1032;-118,3348;1310;6;Hollywood;636;1;30;F;W;SIDEWALK;221;GLASS;AA;Adult Arrest;Violent Crimes
700 ECHO PARK AV;34,0713;-118,2597;945;2;Rampart;218;2;63;M;A;BANK;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
700 N EVERGREEN AV;34,0467;-118,1984;2000;4;Hollenbeck;459;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
SANTA MONICA BL;34,0911;-118,2836;1405;11;Northeast;1162;1;45;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
14500 NORDHOFF ST;34,2354;-118,4481;1607;19;Mission;1974;1;39;M;W;MARKET;None;None;IC;Invest Cont;Property Crimes
2400 W SLAUSON AV;33,9922;-118,3276;100;12;77th Street;1211;2;27;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1000 W 15TH ST;33,7306;-118,299;1000;5;Harbor;563;1;15;M;H;HIGH SCHOOL;None;None;IC;Invest Cont;Property Crimes
700 W 105TH ST;33,9407;-118,2869;1930;18;Southeast;1841;2;8;M;B;SIDEWALK;None;None;IC;Invest Cont;Crimes against Persons
11600 WILSHIRE BL;34,0508;-118,4592;229;8;West LA;842;1;0;X;X;MINI-MART;None;None;IC;Invest Cont;Property Crimes
600 N SPRING ST;34,0582;-118,2387;1500;1;Central;111;1;14;M;W;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
4400 W 4TH ST;34,0671;-118,3141;1435;20;Olympic;2022;1;20;M;O;STREET;None;None;IC;Invest Cont;Property Crimes
4800 VALLEY BL;34,0659;-118,1802;1300;4;Hollenbeck;439;1;45;F;A;PUBLIC STORAGE;None;None;IC;Invest Cont;Property Crimes
2200 E 2ND ST;34,0435;-118,2131;1430;4;Hollenbeck;464;1;11;F;H;STORAGE SHED;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
N BROADWAY;34,0737;-118,2117;1200;4;Hollenbeck;422;1;35;M;V;PORCH, RESIDENTIAL;None;None;IC;Invest Cont;Property Crimes
9400 CORBIN AV;34,241;-118,5623;800;17;Devonshire;1764;1;38;F;B;PUBLIC STORAGE;None;None;IC;Invest Cont;Property Crimes
1300 S CLOVERDALE AV;34,0486;-118,3514;1115;7;Wilshire;755;1;30;M;O;PORCH, RESIDENTIAL;None;None;IC;Invest Cont;Property Crimes
2100 S SEPULVEDA BL;34,0416;-118,4391;1445;8;West LA;835;2;0;X;X;OTHER BUSINESS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Crimes against Public Order
7200 W SUNSET BL;34,1007;-118,3494;1145;6;Hollywood;643;2;39;M;H;PARKING LOT;308;STICK;IC;Invest Cont;Property Crimes
7000 MATILIJA AV;34,1975;-118,4335;1330;9;Van Nuys;916;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1500 S MANSFIELD AV;34,0466;-118,3463;1200;7;Wilshire;765;2;77;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
3900 VIRGINIA RD;34,0145;-118,3408;1200;3;Southwest;363;2;21;F;B;DAY CARE/CHILDREN*;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Crimes against Public Order
1700 4TH AV;34,0399;-118,3213;30;7;Wilshire;779;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
7200 CORBIN AV;34,2012;-118,5622;1950;10;West Valley;1011;2;31;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
MAGNOLIA;34,165;-118,379;1115;15;N Hollywood;1548;2;51;M;B;PARK/PLAYGROUND;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
3200 E CESAR E CHAVEZ AV;34,045;-118,1956;2120;4;Hollenbeck;459;2;68;F;H;SIDEWALK;None;None;IC;Invest Cont;Crimes against Public Order
900 WESTWOOD BL;34,0626;-118,4453;830;8;West LA;817;1;0;X;X;OTHER BUSINESS;None;None;AA;Adult Arrest;Property Crimes
5300 MARMION WY;34,108;-118,1989;2248;11;Northeast;1149;2;43;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
12500 SAN FERNANDO RD;34,2968;-118,4553;1005;19;Mission;1925;1;52;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
8000 AVALON BL;33,966;-118,2651;2035;12;77th Street;1269;1;19;M;H;RESTAURANT/FAST FOOD;106;UNKNOWN FIREARM;IC;Invest Cont;Crimes against Public Order
1500 N SAN FERNANDO RD;34,0974;-118,2367;1900;11;Northeast;1157;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
18200 VANOWEN ST;34,1975;-118,5273;800;10;West Valley;1025;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
300 S COCHRAN AV;34,0687;-118,3472;1120;7;Wilshire;736;2;58;F;O;OTHER/OUTSIDE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
14500 DICKENS ST;34,15;-118,4489;900;9;Van Nuys;984;2;71;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
VERNON AV;34,0039;-118,2392;2100;13;Newton;1367;2;53;F;H;YARD (RESIDENTIAL/BUSINESS);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
13000 HUBBARD ST;34,3077;-118,4133;840;19;Mission;1908;2;28;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
2400 W 54TH ST;33,9932;-118,3198;1243;12;77th Street;1211;2;40;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
17000 VANOWEN ST;34,1975;-118,5099;1500;10;West Valley;1027;2;28;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
CENTURY BL;33,9455;-118,309;2020;12;77th Street;1283;2;26;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
8600 S BROADWAY;33,9596;-118,2783;1800;18;Southeast;1802;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5900 W CENTURY BL;33,9456;-118,3932;1200;14;Pacific;1496;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
5300 S VERMONT AV;33,9921;-118,298;1240;12;77th Street;1215;1;0;X;X;ELECTRONICS STORE (IE:RADIO SHACK, ETC.);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
2800 PARTRIDGE AV;34,103;-118,2485;1230;11;Northeast;1146;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
700 E 105TH ST;33,941;-118,2609;2120;18;Southeast;1834;2;42;F;H;SINGLE FAMILY DWELLING;511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
4000 REDWOOD AV;33,9906;-118,4391;1535;14;Pacific;1453;1;41;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
100 S WETHERLY DR;34,0736;-118,3887;157;7;Wilshire;721;1;0;Unknown;Unknown;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
2300 SANTA ANA BL;33,9346;-118,2317;1100;18;Southeast;1849;2;61;F;B;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
SUNSET BL;34,098;-118,3295;2230;6;Hollywood;666;1;27;M;W;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
2600 W 54TH ST;33,9932;-118,3214;2145;12;77th Street;1211;2;40;F;H;SINGLE FAMILY DWELLING;515;PHYSICAL PRESENCE;IC;Invest Cont;Crimes against Public Order
2100 W 8TH ST;34,0549;-118,2778;1934;2;Rampart;265;2;43;M;H;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1800 S FIGUEROA ST;34,0388;-118,2717;2110;1;Central;191;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
1400 S LA CIENEGA BL;34,0495;-118,3805;1;8;West LA;859;2;34;M;W;OTHER PREMISE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3200 ELLSWORTH ST;34,08;-118,2782;300;2;Rampart;205;2;36;M;W;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
WILSON;34,1179;-118,2451;1230;11;Northeast;1124;2;42;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AA;Adult Arrest;Property Crimes
12000 WILSHIRE BL;34,0473;-118,4768;1800;8;West LA;831;2;23;F;B;HOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
17000 SAN FERNANDO MISSION BL;34,272;-118,5028;2300;17;Devonshire;1735;1;32;F;W;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
COHASSET ST;34,2066;-118,4825;1535;10;West Valley;1018;1;47;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
600 S BARRINGTON AV;34,0577;-118,4681;500;8;West LA;827;1;56;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);304;CLUB/BAT;AA;Adult Arrest;Violent Crimes
4TH ST;34,0503;-118,2506;1200;1;Central;142;1;21;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
15100 ERWIN ST;34,183;-118,4629;130;9;Van Nuys;932;1;34;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
6600 FALLBROOK AV;34,1883;-118,6274;2045;21;Topanga;2143;1;43;M;O;PARKING LOT;None;None;AA;Adult Arrest;Property Crimes
1200 S MAIN ST;34,0373;-118,2596;1500;1;Central;185;1;34;M;W;SIDEWALK;102;HAND GUN;IC;Invest Cont;Violent Crimes
1900 W 8TH ST;34,0539;-118,2756;1250;2;Rampart;265;1;0;X;X;MINI-MART;None;None;IC;Invest Cont;Property Crimes
3200 CANYON DR;34,1201;-118,3163;1345;6;Hollywood;629;1;24;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
100 S HOOVER ST;34,0728;-118,2878;20;20;Olympic;2019;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
400 E WASHINGTON BL;34,0289;-118,2602;1415;13;Newton;1313;2;59;M;H;OTHER STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
3500 E 3RD ST;34,034;-118,1944;1045;4;Hollenbeck;469;2;44;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
2300 CHARITON ST;34,0381;-118,3782;2050;8;West LA;898;1;29;M;H;STREET;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;AA;Adult Arrest;Crimes against Public Order
1400 W 6TH ST;34,0562;-118,2673;1600;2;Rampart;257;1;50;M;H;LAUNDROMAT;None;None;IC;Invest Cont;Property Crimes
800 E 91ST ST;33,9538;-118,2608;350;18;Southeast;1806;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
13200 SATICOY ST;34,2078;-118,4204;1900;15;N Hollywood;1501;1;0;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
VALJEAN;34,2366;-118,4872;2005;17;Devonshire;1777;1;32;M;H;SIDEWALK;102;HAND GUN;IC;Invest Cont;Property Crimes
CAMERFORD;34,0844;-118,3266;1000;6;Hollywood;676;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
300 E 1ST ST;34,0502;-118,2406;400;1;Central;128;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1200 S PATTON AV;33,7325;-118,3056;1800;5;Harbor;562;1;31;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
6200 HOLLYWOOD BL;34,103;-118,3225;1520;6;Hollywood;637;2;25;M;H;STREET;204;FOLDING KNIFE;AA;Adult Arrest;Property Crimes
15800 SATICOY ST;34,2085;-118,4771;1400;10;West Valley;1018;1;42;F;H;STORAGE SHED;None;None;IC;Invest Cont;Property Crimes
1200 W 16TH ST;33,7297;-118,3034;415;5;Harbor;562;1;0;M;O;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
5700 SEPULVEDA BL;34,174;-118,4662;1430;9;Van Nuys;941;1;63;F;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
ENCINO AV;34,2448;-118,5156;1600;17;Devonshire;1768;1;32;F;F;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
3700 SANTA ROSALIA DR;34,0077;-118,3383;1500;3;Southwest;363;2;16;M;H;OTHER BUSINESS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
6TH ST;34,0552;-118,2648;1340;2;Rampart;248;2;30;M;W;BUS STOP;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1400 N SIERRA BONITA AV;34,0962;-118,354;1850;6;Hollywood;644;2;31;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
8600 LANGDON AV;34,2265;-118,4699;1900;19;Mission;1981;1;38;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
9800 NATIONAL BL;34,0313;-118,4007;1730;8;West LA;896;1;0;X;X;OTHER BUSINESS;511;VERBAL THREAT;IC;Invest Cont;Property Crimes
14500 NORDHOFF ST;34,2354;-118,4482;1400;19;Mission;1974;1;59;M;O;CLOTHING STORE;None;None;AA;Adult Arrest;Property Crimes
200 W 113TH ST;33,932;-118,2757;1630;18;Southeast;1842;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
100 S ST ANDREWS PL;34,0725;-118,3153;1110;20;Olympic;2011;1;28;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);102;HAND GUN;AA;Adult Arrest;Crimes against Persons
400 N FAIRFAX AV;34,0782;-118,3615;1630;7;Wilshire;713;1;29;M;B;RESTAURANT/FAST FOOD;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
TOPANGA CANYON;34,2197;-118,606;1200;21;Topanga;2103;2;5;F;H;STREET;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
7400 WOODMAN AV;34,2048;-118,4312;1100;9;Van Nuys;909;2;31;F;B;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
1400 S OAKHURST DR;34,0548;-118,391;715;8;West LA;857;1;59;M;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
5700 CRENSHAW BL;33,9909;-118,3308;1855;12;77th Street;1211;1;50;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3300 DERONDA DR;34,1271;-118,3196;950;6;Hollywood;627;2;56;M;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
17800 SHERMAN WY;34,2009;-118,5229;1730;10;West Valley;1025;2;34;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
800 S OXFORD AV;34,0577;-118,3078;910;20;Olympic;2033;2;20;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
8700 NORRIS AV;34,2271;-118,3698;2000;16;Foothill;1675;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2200 W 6TH ST;34,0601;-118,2761;1615;2;Rampart;245;1;18;F;H;PARK/PLAYGROUND;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;Crimes against Public Order
1600 W 3RD ST;34,0599;-118,2656;1310;2;Rampart;248;1;39;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
2200 N INDIANA AV;34,069;-118,1927;1500;4;Hollenbeck;437;1;0;Unknown;Unknown;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
MATHEWS ST;34,0447;-118,2075;1700;4;Hollenbeck;466;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2600 W 67TH ST;33,9818;-118,3221;1;12;77th Street;1242;2;49;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
9800 MCBROOM ST;34,2625;-118,3463;1428;16;Foothill;1655;2;34;F;O;OTHER BUSINESS;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
BALBOA BL;34,2357;-118,5025;2115;17;Devonshire;1775;2;36;F;O;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;Violent Crimes
1700 WILCOX AV;34,1016;-118,331;1415;6;Hollywood;636;2;26;M;B;OTHER PREMISE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
600 S WINDSOR BL;34,0625;-118,3214;2000;20;Olympic;2021;1;45;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
6600 FALLBROOK AV;34,1883;-118,6274;2146;21;Topanga;2143;1;50;M;W;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
10000 BURNET AV;34,2519;-118,4631;2030;19;Mission;1954;2;68;F;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
3200 WILSHIRE BL;34,0636;-118,296;600;20;Olympic;2027;1;0;X;X;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
22800 DOLOROSA ST;34,1701;-118,6277;1710;21;Topanga;2173;1;49;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
2300 GATEWOOD ST;34,0881;-118,2326;1745;11;Northeast;1176;1;60;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
7000 S ST ANDREWS PL;33,979;-118,3112;2015;12;77th Street;1243;1;24;F;B;STREET;None;None;IC;Invest Cont;Property Crimes
SAN FERNANDO RD;34,3076;-118,4693;800;19;Mission;1913;1;27;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
3500 WRIGHTWOOD DR;34,1347;-118,3728;755;15;N Hollywood;1599;2;56;F;W;OTHER PREMISE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
HERRON;34,3066;-118,4356;245;19;Mission;1916;1;32;M;B;STREET;None;None;IC;Invest Cont;Property Crimes
500 W 82ND ST;33,9644;-118,2827;2230;12;77th Street;1267;1;37;M;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
6200 W HOLLYWOOD BL;34,103;-118,3225;1630;6;Hollywood;637;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
6000 FULCHER AV;34,1794;-118,3732;2020;15;N Hollywood;1527;1;22;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1300 S HILL ST;34,0363;-118,2672;2210;1;Central;192;1;25;M;H;SIDEWALK;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;IC;Invest Cont;Violent Crimes
11000 S VERMONT AV;33,9355;-118,2916;700;18;Southeast;1841;1;0;Unknown;Unknown;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
3200 W SUNSET BL;34,0856;-118,2749;1300;2;Rampart;205;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
1300 S SOTO ST;34,0261;-118,2197;130;4;Hollenbeck;489;1;27;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
10600 GLENOAKS BL;34,2619;-118,3989;1900;16;Foothill;1654;1;0;M;W;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
900 N WESTERN AV;33,7511;-118,3091;2130;5;Harbor;541;1;0;X;X;DRUG STORE;None;None;IC;Invest Cont;Property Crimes
8900 BELLANCA AV;33,9563;-118,3805;1200;14;Pacific;1488;2;0;X;X;OTHER BUSINESS;None;None;AO;Adult Other;Fraud and White-Collar Crimes
1100 W 6TH ST;34,0541;-118,2621;730;2;Rampart;249;1;23;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
3800 ESPLANADE;33,9767;-118,4615;1200;14;Pacific;1452;2;29;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
ZONAL;34,0591;-118,1965;1920;4;Hollenbeck;448;1;17;M;H;STREET;102;HAND GUN;IC;Invest Cont;Property Crimes
300 S NORMANDIE AV;34,069;-118,3004;1300;20;Olympic;2025;2;40;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
IRVINGTON PL;34,1159;-118,2038;2030;11;Northeast;1116;1;31;M;W;PARKING LOT;103;RIFLE;IC;Invest Cont;Property Crimes
5500 AIRDROME ST;34,0446;-118,3628;2030;7;Wilshire;763;2;27;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5000 S CENTINELA AV;33,9862;-118,4149;1355;14;Pacific;1465;1;52;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
600 N HELIOTROPE DR;34,0822;-118,2953;1;2;Rampart;211;1;0;M;O;PUBLIC STORAGE;None;None;IC;Invest Cont;Property Crimes
18500 VICTORY BL;34,1866;-118,5368;30;10;West Valley;1033;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
200 W 91ST ST;33,9537;-118,2757;2235;18;Southeast;1802;1;50;M;B;STREET;102;HAND GUN;IC;Invest Cont;Violent Crimes
